sample,utc_start,exit_code,classification,process_wall_seconds,constructor_us,direct_roundtrip_us,fifo_roundtrip_us
0,2026-09-09T02:24:52.091088+00:00,0,pass,0.01597675308585167,5122.62,32,82.04
1,2026-09-09T02:24:52.107485+00:00,0,pass,0.015903955325484276,4887.46,28.161,63.88
2,2026-09-09T02:24:52.123828+00:00,0,pass,0.01586083322763443,4968.02,31.72,81.801
3,2026-09-09T02:24:52.140092+00:00,0,pass,0.015822315588593483,4814.66,28.24,67.48
4,2026-09-09T02:24:52.156310+00:00,0,pass,0.015845196321606636,4866.54,27.84,63.92
